Price Date,Close Price
03-08-2018,1364.1
02-08-2018,1353.65
01-08-2018,1354.05
31-07-2018,1365.1
30-07-2018,1351
27-07-2018,1373.45
26-07-2018,1373.25
25-07-2018,1383.75
24-07-2018,1377.15
23-07-2018,1355.95
20-07-2018,1348.1
19-07-2018,1316.7
18-07-2018,1322.55
17-07-2018,1327.9
16-07-2018,1332.85
13-07-2018,1317.4
12-07-2018,1294.35
11-07-2018,1320.45
10-07-2018,1301.4
09-07-2018,1298.85
06-07-2018,1284.25
05-07-2018,1284
04-07-2018,1345.2
03-07-2018,1353.75
02-07-2018,1334.7
29-06-2018,1307.2
28-06-2018,1289.6
27-06-2018,1270
26-06-2018,1277.85
25-06-2018,1272.45
22-06-2018,1247.85
21-06-2018,1246.55
20-06-2018,1243.15
19-06-2018,1241.6
18-06-2018,1267.4
15-06-2018,1281.25
14-06-2018,1239.7
13-06-2018,1274.8
12-06-2018,1258.5
11-06-2018,1262.4
08-06-2018,1260.05
07-06-2018,1252.45
06-06-2018,1237.45
05-06-2018,1220.85
04-06-2018,1239.4
01-06-2018,1220.8
31-05-2018,1231.8
30-05-2018,1211.7
29-05-2018,1216.7
28-05-2018,1214.4
25-05-2018,1228.3
24-05-2018,1221
23-05-2018,1184.9
22-05-2018,1193.85
21-05-2018,1179.5
18-05-2018,1183.2
17-05-2018,1182.9
16-05-2018,1189.95
15-05-2018,1194.55
14-05-2018,1189.3
11-05-2018,1180.75
10-05-2018,1168
09-05-2018,1170.7
08-05-2018,1165.55
07-05-2018,1183
04-05-2018,1173.1
03-05-2018,1182.55
02-05-2018,1197.05
30-04-2018,1199.5
27-04-2018,1185.2
26-04-2018,1176.45
25-04-2018,1160.35
24-04-2018,1154.5
23-04-2018,1187.7
20-04-2018,1178.45
19-04-2018,1132.85
18-04-2018,1125.95
17-04-2018,1125.2
16-04-2018,1133.2
13-04-2018,1171.45
12-04-2018,1162.6
11-04-2018,1124.25
10-04-2018,1113.4
09-04-2018,1111.25
06-04-2018,1127
05-04-2018,1147.55
04-04-2018,1124.2
03-04-2018,1140.45
02-04-2018,1137.15
28-03-2018,1131.8
27-03-2018,1154
26-03-2018,1155.25
23-03-2018,1167.6
22-03-2018,1161.3
21-03-2018,1167.5
20-03-2018,1164.55
19-03-2018,1146.75
16-03-2018,1171.9
15-03-2018,1182.5
14-03-2018,1180.8
13-03-2018,1183.8
12-03-2018,1185.75
09-03-2018,1163.4
08-03-2018,1156.65
07-03-2018,1144.1
06-03-2018,1151.35
05-03-2018,1155.9
01-03-2018,1160.75
28-02-2018,1172.6
27-02-2018,1150.2
26-02-2018,1138.6
23-02-2018,1155.65
22-02-2018,1160.75
21-02-2018,1147.4
20-02-2018,1136.95
19-02-2018,1131.75
16-02-2018,1128.05
15-02-2018,1114.45
14-02-2018,1097.75
12-02-2018,1102.8
09-02-2018,1109.15
08-02-2018,1134.25
07-02-2018,1109.05
06-02-2018,1107.75
05-02-2018,1138.2
02-02-2018,1143.25
01-02-2018,1144.6
31-01-2018,1150.25
30-01-2018,1170.65
29-01-2018,1182.9
25-01-2018,1175.4
24-01-2018,1185.8
23-01-2018,1177.1
22-01-2018,1150
19-01-2018,1143.45
18-01-2018,1152.7
17-01-2018,1152.1
16-01-2018,1122.85
15-01-2018,1081.15
12-01-2018,1078.45
11-01-2018,1075.8
10-01-2018,1052.25
09-01-2018,1041.35
08-01-2018,1036.05
05-01-2018,1012
04-01-2018,1015.4
03-01-2018,1021.3
02-01-2018,1029.7
01-01-2018,1033.55
29-12-2017,1042.05
28-12-2017,1033.25
27-12-2017,1034.25
26-12-2017,1035.6
22-12-2017,1039.35
21-12-2017,1022.05
20-12-2017,1015.85
19-12-2017,1003.95
18-12-2017,1016.6
15-12-2017,1022.9
14-12-2017,1013.1
13-12-2017,1003.75
12-12-2017,1010.5
11-12-2017,1005.3
08-12-2017,1001.85
07-12-2017,999.8
06-12-2017,990.3
05-12-2017,984.35
04-12-2017,985.35
01-12-2017,958.8
30-11-2017,976.1
29-11-2017,982.7
28-11-2017,984.7
27-11-2017,998.75
24-11-2017,1009.55
23-11-2017,991.25
22-11-2017,966.3
21-11-2017,966.25
20-11-2017,960.55
17-11-2017,970.95
16-11-2017,988.4
15-11-2017,951.8
14-11-2017,949.1
13-11-2017,951.95
10-11-2017,962.05
09-11-2017,954.5
08-11-2017,952.3
07-11-2017,955.5
06-11-2017,928.7
03-11-2017,926.65
02-11-2017,922.9
01-11-2017,927.05
31-10-2017,921.85
30-10-2017,944.1
27-10-2017,946.35
26-10-2017,947.35
25-10-2017,935.3
24-10-2017,926.5
23-10-2017,939.5
19-10-2017,926.95
18-10-2017,924.35
17-10-2017,930.5
16-10-2017,939
13-10-2017,930.1
12-10-2017,927.3
11-10-2017,930.7
10-10-2017,935.45
09-10-2017,923.9
06-10-2017,920.15
05-10-2017,903.05
04-10-2017,899.6
03-10-2017,903.55
29-09-2017,899.9
28-09-2017,896
27-09-2017,899.8
26-09-2017,905.9
25-09-2017,895.35
22-09-2017,898.3
21-09-2017,909.55
20-09-2017,912.7
19-09-2017,912.25
18-09-2017,909.1
15-09-2017,908.25
14-09-2017,892.4
13-09-2017,883.75
12-09-2017,884.05
11-09-2017,878.7
08-09-2017,884.3
07-09-2017,895.75
06-09-2017,895.6
05-09-2017,901.9
04-09-2017,900.2
01-09-2017,919.95
31-08-2017,914.95
30-08-2017,926.65
29-08-2017,927.45
28-08-2017,941
24-08-2017,912.15
23-08-2017,892.8
22-08-2017,875.4
21-08-2017,873.4
18-08-2017,923.25
17-08-2017,1020.85
16-08-2017,975.2
14-08-2017,981.45
11-08-2017,987.7
10-08-2017,981.25
09-08-2017,969.35
08-08-2017,963.85
07-08-2017,968.25
04-08-2017,983.75
03-08-2017,984
02-08-2017,993.35
01-08-2017,1005.55
31-07-2017,1011.2
28-07-2017,997.35
27-07-2017,971.05
26-07-2017,994.05
25-07-2017,993.85
24-07-2017,990.55
21-07-2017,980.1
20-07-2017,969.45
19-07-2017,979.85
18-07-2017,985.6
17-07-2017,984.05
14-07-2017,972.05
13-07-2017,977.05
12-07-2017,972.35
11-07-2017,975.35
10-07-2017,957.05
07-07-2017,935.4
06-07-2017,947
05-07-2017,950.9
04-07-2017,962.15
03-07-2017,951.9
30-06-2017,935.55
29-06-2017,930.2
28-06-2017,924.7
27-06-2017,927.05
23-06-2017,943.25
22-06-2017,940.15
21-06-2017,943.35
20-06-2017,943.55
19-06-2017,929.85
16-06-2017,940.25
15-06-2017,952.1
14-06-2017,958.6
13-06-2017,957.8
12-06-2017,963.85
09-06-2017,948.6
08-06-2017,956.45
07-06-2017,961.3
06-06-2017,979.35
05-06-2017,958.75
02-06-2017,969.45
01-06-2017,971.4
31-05-2017,977.05
30-05-2017,996.2
29-05-2017,985.15
26-05-2017,995.7
25-05-2017,983.3
24-05-2017,954.8
23-05-2017,957.3
22-05-2017,961.45
19-05-2017,957.95
18-05-2017,961.75
17-05-2017,952.8
16-05-2017,955
15-05-2017,951.55
12-05-2017,964.25
11-05-2017,944.1
10-05-2017,943.65
09-05-2017,946.65
08-05-2017,945.5
05-05-2017,931.5
04-05-2017,937.65
03-05-2017,934.3
02-05-2017,922.6
28-04-2017,918.95
27-04-2017,925.25
26-04-2017,914.25
25-04-2017,929.35
24-04-2017,926.55
21-04-2017,923.7
20-04-2017,927.3
19-04-2017,919.2
18-04-2017,922.65
17-04-2017,924.9
13-04-2017,931.4
12-04-2017,968.85
11-04-2017,967.15
10-04-2017,953.4
07-04-2017,981.55
06-04-2017,999.6
05-04-2017,995.95
03-04-2017,1008.8
31-03-2017,1022.25
30-03-2017,1025.5
29-03-2017,1031.85
28-03-2017,1035.15
27-03-2017,1028.85
24-03-2017,1031.4
23-03-2017,1040.45
22-03-2017,1027.7
21-03-2017,1032.85
20-03-2017,1021.5
17-03-2017,1040.3
16-03-2017,1028.85
15-03-2017,1011.95
14-03-2017,1034.8
10-03-2017,1021.85
09-03-2017,1011.55
08-03-2017,1007.8
07-03-2017,1019.8
06-03-2017,1033.9
03-03-2017,1031.2
02-03-2017,1023.3
01-03-2017,1025.15
28-02-2017,1012.4
27-02-2017,1012.4
23-02-2017,1008.85
22-02-2017,990.15
21-02-2017,1013.6
20-02-2017,1010.25
